feature,importance_gain,importance_split
ap_hi,247636.29509837925,795
age_years,53711.768336933106,1473
cholesterol,28931.14867208898,640
mean_arterial_pressure,16474.74793575704,687
bmi,10171.159766063094,1570
bp_category_encoded,7862.989969491959,51
weight_kg,7524.318019002676,1162
height_cm,3679.6618852466345,1152
glucose,3486.6353009939194,436
is_physically_active,2633.6314270943403,189
pulse_pressure,1747.6948840916157,426
is_smoker,1510.0052582025528,153
drinks_alcohol,1260.5209943652153,145
ap_lo,1031.1760117709637,245
gender,818.9099974632263,179
